district_code,hydro_id,model_id,feature_id,name,osm_id,fclass,q_overtopped,q_0_5_ft,q_2_ft,q_5_ft,geometry_wkt
AUS,282,53119,5780359,Fitzhugh Rd @ Barton Creek,"351214946",tertiary,152,248,465,1119,"POINT (-98.011218782 30.2424612510001)"
AUS,283,53397,5781163,Spicewood Springs Rd @ Bull Creek -- Crossing 2,"432988614",secondary,69,198,595,1679,"POINT (-97.7784881809999 30.3914362890001)"
AUS,284,53396,5781163,Spicewood Springs Rd @ Bull Creek -- Crossing 4,"432988612",secondary,86,227,599,1537,"POINT (-97.783132623 30.39944129)"
AUS,285,53395,5781163,Spicewood Springs Rd @ Bull Creek -- Crossing 5,"432988613",secondary,79,125,438,1763,"POINT (-97.7883019499999 30.404913429)"
AUS,286,53394,5781163,Spicewood Springs Rd @ Bull Creek -- Crossing 6,"258407200",secondary,64,379,742,2109,"POINT (-97.795210407 30.4167552930001)"
AUS,287,53394,5781163,Spicewood Springs Rd @ Bull Creek -- Crossing 7,"258407201",secondary,90,274,850,2373,"POINT (-97.7938381869999 30.420002294)"
AUS,288,53397,5781163,Spicewood Springs Rd @ Bull Creek -- Crossing 1,"432390394",secondary,73,131,500,1487,"POINT (-97.7749344869999 30.390365757)"
AUS,289,53336,5780415,Bee Creek Rd @ Bee Creek,"522652988",tertiary,31,215,896,2840,"POINT (-98.040082684 30.3547612720001)"
AUS,290,61017,5789256,Blocker Ln @ unnamed trib to Dry Creek,"191784922",residential,131,248,1378,4485,"POINT (-97.671277021 30.1125442380001)"
AUS,291,61600,5788898,Carlson Rd @ Dry Creek,"15411092",residential,,,,,"POINT (-97.41055197 30.3907493020001)"
AUS,292,53913,5781175,Fritz Hughes Park Rd @ Bear Creek,"1025337168",residential,94,162,375,1840,"POINT (-97.909418763 30.384477283)"
AUS,293,59229,5789232,Plover Place,"15400075",residential,77,406,1549,5489,"POINT (-97.617774239 30.1275612430001)"
AUS,294,53755,5781289,FM2244/Bee Caves Rd @ Eanes Creek,"836683020",primary,184,287,1561,5801,"POINT (-97.7926646559999 30.2707558550001)"
AUS,295,53330,5781373,FM 1826 @ Slaughter Cr,"524105228",secondary,219,368,1665,4721,"POINT (-97.903662332 30.209392334)"
